Date,Trap,Dipteran_Large,Terrestrial_Large,Caddisfly_Large,Mayfly_Large,Stonefly_Large,Other_Large,Dipteran_Small,Terrestrial_Small,Other_Small
7/9/2018,1,1,,,,,,2,,3
7/9/2018,2,1,1,1,1,1,,4,,
7/9/2018,3,1,,,,,,14,,2
7/9/2018,4,1,,,,,,7,,2
7/9/2018,5,3,,,,3,,14,,2
7/9/2018,6,4,,,,2,,7,,4
7/9/2018,7,4,,,,3,1,18,,3
7/9/2018,8,2,1,,,1,,22,,1
7/9/2018,9,1,2,,,1,,11,,
7/9/2018,10,1,,1,,,3,8,,
7/16/2018,1,,,,,3,4,25,,1
7/16/2018,2,1,,,,,4,14,,3
7/16/2018,3,2,4,,,1,3,13,,3
7/16/2018,4,2,3,,,2,1,16,,5
7/16/2018,5,2,,1,,1,,48,,
7/16/2018,6,1,,3,,,,28,,1
7/16/2018,7,2,2,,,,1,18,,2
7/16/2018,8,,1,,,,2,20,5,3
7/16/2018,9,1,2,1,,,,19,2,2
7/16/2018,10,1,3,,,,1,16,,2
7/23/2018,1,1,1,,,,,,,5
7/23/2018,2,2,3,,,,1,,,2
7/23/2018,3,1,,,,1,2,31,,1
7/23/2018,4,5,7,,,1,,19,,2
7/23/2018,5,,,,,,,,,6
7/23/2018,6,,,,,,,1,2,1
7/23/2018,7,4,2,,,1,,13,,
7/23/2018,8,3,,,,1,,27,1,
7/23/2018,9,,2,,,,1,2,,
7/23/2018,10,,,,,,,1,,1
7/30/2018,1,,,,,1,,6,,1
7/30/2018,2,,,,,3,,4,,1
7/30/2018,3,1,,1,,2,,16,,2
7/30/2018,4,1,,1,,2,,26,1,3
7/30/2018,5,,,,,,,4,,
7/30/2018,6,1,,,,,,2,,1
7/30/2018,7,1,,,1,1,,7,,
7/30/2018,8,,,,,,,9,,
7/30/2018,9,1,,,,,,8,,1
7/30/2018,10,,,,,,,7,,1
8/6/2018,1,,,,,,,7,,1
8/6/2018,2,2,,,,,,2,,2
8/6/2018,3,,,2,,,,16,,3
8/6/2018,4,,2,,,,,10,,
8/6/2018,5,,,,,,1,6,,
8/6/2018,6,1,,,,,,12,,2
8/6/2018,7,2,,1,,2,,5,,1
8/6/2018,8,,,,,1,,4,,
8/6/2018,9,,,1,,,,3,,1
8/6/2018,10,,1,1,,1,,1,,1
8/13/2018,1,1,,,,,1,,,
8/13/2018,2,,,,,1,,6,,
8/13/2018,3,2,,,,1,,1,,
8/13/2018,4,0,,,,,,,,
8/13/2018,5,,,,,,,5,,
8/13/2018,6,1,,,,1,2,3,,1
8/13/2018,7,,,1,,,1,8,,
8/13/2018,8,,1,,,,,6,,
8/13/2018,9,1,,,,1,,8,,2
8/13/2018,10,,,,,,,6,,2
8/20/2018,1,,,,,,,5,,
8/20/2018,2,1,,,,,,7,,
8/20/2018,3,,,,,,,12,,1
8/20/2018,4,,,,,,,23,,
8/20/2018,5,1,,,,1,,11,,
8/20/2018,6,1,,1,,,,10,,
8/20/2018,7,2,,,,,,7,,
8/20/2018,8,1,,,,,,9,,
8/20/2018,9,,,2,,,,21,,
8/20/2018,10,,,2,,1,,22,,
8/27/2018,1,1,,,,1,1,3,,
8/27/2018,2,,,,,,,6,,
8/27/2018,3,5,,,,,1,1,,
8/27/2018,4,4,,,,,1,,,
8/27/2018,5,,,,,,,8,,
8/27/2018,6,,,,,,,8,,
8/27/2018,7,,,,,,,8,,1
8/27/2018,8,2,,,,1,,1,,
8/27/2018,9,,,,,1,,8,,
8/27/2018,10,2,,,,2,,15,,
9/4/2018,1,3,1,,,1,,32,6,
9/4/2018,2,1,,,,3,,33,,
9/4/2018,3,2,1,,,,,12,,
9/4/2018,4,,,1,,2,,13,,1
9/4/2018,5,,,,,,,17,,
9/4/2018,6,2,,,,,,25,,1
9/4/2018,7,1,1,,,,1,18,,
9/4/2018,8,,,,,,,11,,
9/4/2018,9,,1,,,,,10,,1
9/4/2018,10,,,,,,,25,,1
9/10/2018,1,3,,,,,,29,,1
9/10/2018,2,,,,,1,1,30,,1
9/10/2018,3,,,,,,,18,,
9/10/2018,4,,,,,,,12,,
9/10/2018,5,,,,,,,6,,
9/10/2018,6,,,,,,,11,,1
9/10/2018,7,,1,,,,,1,,
9/10/2018,8,,,,,,,10,,2
9/10/2018,9,,,,,,,6,,
9/10/2018,10,,,,,,,6,,
9/17/2018,1,,,,,,2,7,,1
9/17/2018,2,,,,,,2,,,2
9/17/2018,3,,,,,,,10,,1
9/17/2018,4,1,,,,,,5,,
9/17/2018,5,1,,,,,,16,,3
9/17/2018,6,,,,,,,10,,1
9/17/2018,7,1,,1,,,,6,,
9/17/2018,8,1,,,,,1,4,,
9/17/2018,9,,1,,,,,5,,1
9/17/2018,10,,,,,,,8,,
9/24/2018,1,,,,,,,5,,1
9/24/2018,2,3,,,,,,1,,
9/24/2018,3,,,,,,,8,,
9/24/2018,4,2,,,,,1,3,,
9/24/2018,5,3,,,,,,10,,1
9/24/2018,6,2,,,,,,5,,2
9/24/2018,7,,,,,,,17,,
9/24/2018,8,1,,,,1,1,14,,
9/24/2018,9,,,,,,,5,,2
9/24/2018,10,,1,,,,,,,
10/1/2018,1,,,,,,,8,,1
10/1/2018,2,2,,,,,,6,,2
10/1/2018,3,1,,,,,,4,,
10/1/2018,4,,,,,,,4,,
10/1/2018,5,4,,,,,,8,,
10/1/2018,6,2,,,,,,3,,
10/1/2018,7,1,,,,,,8,,
10/1/2018,8,2,,,,,,8,,
10/1/2018,9,1,,,,,,9,,
10/1/2018,10,3,,,,,,12,,
10/8/2018,1,1,,,,,,5,,
10/8/2018,2,2,,,,,,3,,2
10/8/2018,3,2,,1,,,,14,,
10/8/2018,4,4,,,,,,14,,2
10/8/2018,5,2,,,,,,7,,1
10/8/2018,6,1,,,,,,8,,1
10/8/2018,7,2,,,,,,11,,1
10/8/2018,8,1,,,,,,9,,1
10/8/2018,9,4,,,,,,3,,1
10/8/2018,10,5,,,,,,10,,1
10/15/2018,1,2,,,,,,10,,
10/15/2018,2,,,,,,,8,,
10/15/2018,3,2,,,,,,8,,
10/15/2018,4,2,,,,,,6,,
10/15/2018,5,3,,,,,,15,,
10/15/2018,6,3,,,,,,7,,2
10/15/2018,7,2,,,,,,13,,
10/15/2018,8,,,,,,,10,,
10/15/2018,9,2,,,,,,8,,
10/15/2018,10,2,,,,,,11,,1
10/22/2018,1,,,,,,,4,,
10/22/2018,2,1,,,,,,4,,
10/22/2018,3,2,,,,,,2,,
10/22/2018,4,2,,,,,1,2,,
10/22/2018,5,2,,,,,,3,,
10/22/2018,6,2,,,,,,2,,
10/22/2018,7,,,,,,,9,,1
10/22/2018,8,4,,,,,,,,
10/22/2018,9,,,,,,,2,,
10/22/2018,10,1,,,,,,1,,
10/29/2018,1,1,,,,,,4,,
10/29/2018,2,,,,,,,,,1
10/29/2018,3,,,,,,,2,,
10/29/2018,4,,,,,,,3,,
10/29/2018,5,,,,,,,1,,
10/29/2018,6,,,,,,,2,,
10/29/2018,7,,,,,,,2,,
10/29/2018,8,0,,,,,,,,
10/29/2018,9,,,,,,,1,,
10/29/2018,10,1,,,,,,1,,
11/5/2018,1,,,,,,,2,,
11/5/2018,2,,,,,,,5,,1
11/5/2018,3,,,,,,,4,,
11/5/2018,4,,,,,,,2,,
11/5/2018,5,,,,,,,1,,
11/5/2018,6,0,,,,,,3,,
11/5/2018,7,3,,,,,,,,
11/5/2018,8,1,,,,,,2,,
11/5/2018,9,1,,,,,,2,,
11/5/2018,10,1,,,,,,,,
11/12/2018,1,,,,,,,2,,
11/12/2018,2,,,,,,,3,,
11/12/2018,3,2,,,,,,1,,
11/12/2018,4,,,,,,,4,,
11/12/2018,5,4,1,,,,,1,,
11/12/2018,6,2,,,,,,4,,
11/12/2018,7,,,,,,,5,,
11/12/2018,8,,,,,1,,3,,
11/12/2018,9,,,,,,,3,,
11/12/2018,10,,,,,,,3,,
